id;document_date_and_time;speed_gps;document_display_number
1;2023-02-06T17:36:41;19401;Serbia Refined
2;2023-02-06T19:49:12;74688;Account Technician
3;2023-02-07T06:43:16;21171;Silver
4;2023-02-07T05:02:15;97728;Fantastic Decentralized Strategist
5;2023-02-06T20:07:41;80333;overriding Arkansas orchid
6;2023-02-06T11:28:09;80438;maroon Kentucky
7;2023-02-07T03:41:00;39149;synthesize
8;2023-02-06T22:33:55;97789;Concrete synthesizing
9;2023-02-06T11:35:14;45954;Orchestrator visionary
10;2023-02-07T01:37:47;94422;Factors Florida Branding
