id;name;classification_society;ice_class_polar_code;technical_efficiency_code;ship_type
1;Awesome;National International Forint;Lodge Engineer;Barbuda payment;Alaska out-of-the-box Illinois
2;Self-enabling Bacon;bypass Web;eco-centric withdrawal;Savings dot-com wireless;Multi-lateral
3;Future;Car Architect Producer;structure Islands Mission;Fresh;CFP bandwidth-monitored
4;Gorgeous payment;Fantastic Dynamic;Music National Berkshire;connecting SDD;quantify Strategist Avon
5;calculating User-friendly;Executive transitional array;payment deposit Regional;Optional maroon compressing;Customer Investment drive
6;Chief Account;Computer Steel;Bedfordshire Gorgeous;virtual;payment Jordan
7;channels;Senior Fantastic;Cheese Estates;calculating Loan data-warehouse;Bulgaria transmitting
8;sticky Pre-emptive groupware;calculating orchestrate Islands;array up bypass;Handcrafted Steel Concrete;neural Soap
9;Granite;Handmade Plastic;1080p;experiences;task-force
10;bandwidth analyzing Islands;parsing;Shoes hacking;Liaison Tugrik;clicks-and-mortar
